                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1429,                 3.2212,                 1.6457,                 2.0392,                 4.4464,                 1.4495,                0.00428,                0.34348,                0.04577,                0.01959,                 2.0493,                 3.6672,                 1.6302,                 1.7059,                  5.516,                 1.3224,              0.0004662,              0.0004662,              0.0004662
                      2,                 2.0354,                 2.3182,                 1.5473,                  1.942,                 3.5296,                 1.3763,                0.50359,                0.23544,                0.23941,                0.10217,                 2.0309,                 2.7408,                 1.5842,                 1.8249,                  4.589,                 1.4022,              0.0009332,              0.0009332,              0.0009332
                      3,                 2.0101,                 2.1778,                 1.5551,                 1.9294,                  3.165,                 1.3919,                0.17811,                0.14803,                0.07569,                0.02895,                 2.2173,                 3.4342,                 2.0195,                 1.8628,                 4.6109,                 1.6951,              0.0013908,              0.0013908,              0.0013908
                      4,                 2.0342,                 2.1649,                 1.5546,                 1.9625,                 2.9302,                 1.4004,                0.19935,                 0.1958,                  0.099,                 0.0429,                 2.2107,                 4.4763,                 2.0005,                 1.9442,                 4.3684,                 1.6934,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.9872,                 2.0543,                 1.5323,                 1.9487,                  2.708,                 1.3983,                0.23959,                0.25529,                0.14987,                0.05513,                 2.0341,                 2.8011,                 1.7114,                  1.902,                   3.42,                 1.5875,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.9588,                 1.9682,                 1.5147,                 1.9435,                 2.5425,                 1.3821,                0.31163,                0.43015,                0.30066,                0.12241,                 1.9298,                 2.6354,                 1.5916,                 1.8612,                 2.8333,                 1.5048,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.9254,                  1.894,                 1.5146,                 1.9004,                 2.4539,                 1.3926,                0.42432,                0.36246,                0.31358,                0.13614,                 1.9191,                 2.4107,                 1.5826,                  1.805,                 3.1401,                 1.4889,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.9022,                 1.8552,                 1.4897,                  1.912,                 2.3596,                 1.3719,                0.38129,                0.46173,                0.33857,                0.13443,                  2.001,                 2.9002,                 1.6273,                 1.8983,                 3.9386,                 1.5085,              0.0013441,              0.0013441,              0.0013441
                      9,                  1.887,                 1.8228,                 1.4747,                 1.8896,                 2.3022,                 1.3579,                0.44655,                0.35771,                0.37035,                0.14365,                 1.9937,                 1.9984,                 1.5703,                  1.948,                 2.3853,                 1.4907,                0.00133,                0.00133,                0.00133
                     10,                 1.8867,                  1.796,                 1.4734,                 1.8916,                 2.2513,                 1.3605,                0.40135,                0.51744,                0.38304,                0.17187,                 1.9931,                 2.5466,                  1.552,                 1.9693,                 3.0681,                 1.4897,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.8699,                 1.7792,                 1.4663,                 1.8861,                 2.2496,                 1.3586,                0.43991,                  0.447,                0.44036,                0.19852,                 2.0244,                 2.2535,                   1.58,                 1.9626,                 2.8437,                 1.4689,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.8345,                   1.72,                 1.4574,                 1.8679,                 2.1697,                 1.3467,                 0.3871,                0.50992,                0.44227,                0.19433,                 1.8438,                 1.8384,                 1.4977,                 1.7671,                  2.501,                 1.4322,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.8428,                 1.7232,                 1.4587,                 1.8777,                 2.1587,                 1.3637,                0.42817,                0.39412,                0.37258,                0.16233,                 1.8835,                  1.879,                 1.4988,                 1.8879,                 2.2415,                 1.4799,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.8281,                 1.7249,                 1.4427,                 1.8723,                  2.151,                 1.3571,                0.49438,                0.51722,                0.49057,                0.20918,                 1.9098,                 2.0968,                 1.4968,                 1.8538,                 2.3333,                  1.442,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.8332,                 1.6693,                 1.4319,                 1.8685,                 2.0872,                   1.33,                0.48821,                0.45129,                0.47153,                0.21495,                 1.8578,                 1.7229,                 1.4961,                 1.8139,                 1.9782,                 1.4581,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.8125,                  1.656,                 1.4329,                 1.8525,                 2.0704,                 1.3448,                0.32977,                0.48448,                0.38504,                0.16295,                 1.9125,                 2.3876,                 1.5276,                 1.8604,                 3.2695,                 1.4459,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.8124,                 1.6246,                 1.4283,                 1.8579,                 2.0332,                 1.3269,                0.61343,                0.50116,                0.54005,                0.27511,                 1.8412,                 1.7581,                 1.5208,                   1.78,                 1.9213,                 1.4308,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.8171,                 1.6369,                 1.4288,                 1.8516,                 2.0296,                 1.3396,                0.50918,                 0.4604,                0.46758,                0.20839,                 1.8772,                 1.7962,                 1.4992,                 1.8753,                 1.9979,                 1.4488,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.7933,                 1.6101,                 1.4178,                 1.8402,                 2.0094,                  1.331,                 0.5369,                0.44465,                0.48294,                0.20436,                 2.0018,                  1.897,                 1.5891,                  1.945,                 2.2586,                 1.4971,              0.0011885,              0.0011885,              0.0011885
                     20,                  1.783,                 1.5887,                 1.4173,                 1.8232,                 1.9862,                 1.3332,                0.48858,                0.44887,                0.44689,                0.19991,                 1.8871,                 2.0173,                  1.525,                 1.8971,                 2.3861,                 1.4784,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.7787,                 1.5899,                 1.4108,                 1.8409,                 1.9618,                 1.3399,                0.64848,                0.52717,                0.55994,                0.26585,                 1.8173,                 1.8795,                 1.4403,                 1.8151,                 2.0869,                  1.407,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.7703,                  1.561,                 1.3975,                 1.8473,                 1.9294,                 1.3315,                0.61974,                0.48128,                0.52535,                 0.2559,                 1.9111,                 1.7604,                 1.4999,                 1.9164,                 2.0085,                 1.4632,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.7642,                 1.5374,                 1.3914,                 1.8219,                 1.8984,                 1.3176,                0.55781,                0.49217,                0.50189,                0.24472,                 1.9057,                 1.9062,                 1.5118,                 1.8575,                  2.302,                 1.4084,              0.0011319,              0.0011319,              0.0011319
                     24,                  1.779,                 1.5636,                 1.4046,                 1.8354,                 1.9383,                 1.3293,                 0.5032,                0.52582,                0.50343,                0.24085,                 1.8948,                 1.7454,                 1.4876,                 1.8271,                 1.9319,                 1.4044,              0.0011178,              0.0011178,              0.0011178
                     25,                  1.789,                 1.5473,                 1.4028,                 1.8561,                 1.9129,                 1.3295,                0.49431,                0.53914,                0.53169,                0.25772,                 1.7796,                 1.7104,                 1.4242,                 1.7252,                  1.945,                  1.378,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.7563,                 1.5179,                 1.3796,                 1.8116,                 1.9016,                 1.3095,                 0.6325,                0.58216,                  0.607,                0.27358,                 1.7886,                 1.6431,                 1.4305,                 1.8034,                 1.9341,                 1.3843,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.7405,                 1.5114,                  1.384,                 1.8069,                 1.8529,                 1.3103,                0.54278,                0.42508,                0.48263,                0.22013,                 1.9446,                 2.1512,                 1.5262,                 1.9013,                 2.5557,                 1.4358,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.7616,                 1.4989,                  1.387,                 1.8155,                 1.8506,                  1.311,                0.50714,                0.55617,                0.51087,                0.22938,                 1.8438,                 1.8133,                 1.4465,                 1.8187,                 2.2142,                 1.4175,              0.0010612,              0.0010612,              0.0010612
